,Province/State,Date,Confirmed,Deaths,Recovered
0,Anhui,2020-01-22,1,0,0
1,Anhui,2020-01-23,9,0,0
2,Anhui,2020-01-24,15,0,0
3,Anhui,2020-01-25,39,0,0
4,Anhui,2020-01-26,60,0,0
5,Anhui,2020-01-27,70,0,0
6,Anhui,2020-01-28,106,0,0
7,Anhui,2020-01-29,152,0,2
8,Anhui,2020-01-30,200,0,2
9,Anhui,2020-01-31,237,0,3
10,Anhui,2020-02-01,297,0,5
11,Anhui,2020-02-02,340,0,7
12,Anhui,2020-02-03,408,0,14
13,Anhui,2020-02-04,480,0,20
14,Anhui,2020-02-05,530,0,23
15,Anhui,2020-02-06,591,0,34
16,Anhui,2020-02-07,665,0,47
17,Anhui,2020-02-08,733,0,59
18,Anhui,2020-02-09,779,1,72
19,Anhui,2020-02-10,830,3,88
20,Anhui,2020-02-11,860,4,105
21,Anhui,2020-02-12,889,4,127
22,Anhui,2020-02-13,910,5,157
23,Anhui,2020-02-14,934,6,193
24,Anhui,2020-02-15,950,6,221
25,Anhui,2020-02-16,962,6,255
26,Anhui,2020-02-17,973,6,280
27,Anhui,2020-02-18,982,6,361
28,Anhui,2020-02-19,986,6,413
29,Anhui,2020-02-20,987,6,474
30,Anhui,2020-02-21,988,6,539
31,Anhui,2020-02-22,989,6,597
32,Anhui,2020-02-23,989,6,637
33,Anhui,2020-02-24,989,6,663
34,Anhui,2020-02-25,989,6,712
35,Anhui,2020-02-26,989,6,744
36,Anhui,2020-02-27,989,6,792
37,Anhui,2020-02-28,990,6,821
38,Anhui,2020-02-29,990,6,868
39,Anhui,2020-03-01,990,6,873
40,Anhui,2020-03-02,990,6,917
41,Anhui,2020-03-03,990,6,936
42,Anhui,2020-03-04,990,6,956
43,Anhui,2020-03-05,990,6,970
44,Anhui,2020-03-06,990,6,979
45,Anhui,2020-03-07,990,6,979
46,Anhui,2020-03-08,990,6,984
47,Anhui,2020-03-09,990,6,984
48,Anhui,2020-03-10,990,6,984
49,Anhui,2020-03-11,990,6,984
50,Anhui,2020-03-12,990,6,984
51,Anhui,2020-03-13,990,6,984
52,Anhui,2020-03-14,990,6,984
53,Anhui,2020-03-15,990,6,984
54,Anhui,2020-03-16,990,6,984
55,Anhui,2020-03-17,990,6,984
56,Anhui,2020-03-18,990,6,984
57,Anhui,2020-03-19,990,6,984
58,Anhui,2020-03-20,990,6,984
59,Anhui,2020-03-21,990,6,984
60,Anhui,2020-03-22,990,6,984
61,Anhui,2020-03-23,990,6,984
62,Anhui,2020-03-24,990,6,984
63,Anhui,2020-03-25,990,6,984
64,Anhui,2020-03-26,990,6,984
65,Anhui,2020-03-27,990,6,984
66,Anhui,2020-03-28,990,6,984
67,Anhui,2020-03-29,990,6,984
68,Anhui,2020-03-30,990,6,984
69,Anhui,2020-03-31,990,6,984
70,Anhui,2020-04-01,990,6,984
71,Anhui,2020-04-02,990,6,984
72,Anhui,2020-04-03,990,6,984
73,Anhui,2020-04-04,990,6,984
74,Anhui,2020-04-05,990,6,984
75,Anhui,2020-04-06,990,6,984
76,Anhui,2020-04-07,990,6,984
77,Anhui,2020-04-08,990,6,984
78,Anhui,2020-04-09,991,6,984
79,Anhui,2020-04-10,991,6,984
80,Anhui,2020-04-11,991,6,984
81,Anhui,2020-04-12,991,6,984
82,Anhui,2020-04-13,991,6,984
83,Anhui,2020-04-14,991,6,984
84,Anhui,2020-04-15,991,6,984
85,Anhui,2020-04-16,991,6,984
86,Anhui,2020-04-17,991,6,984
87,Anhui,2020-04-18,991,6,984
88,Anhui,2020-04-19,991,6,984
89,Anhui,2020-04-20,991,6,984
90,Anhui,2020-04-21,991,6,984
91,Anhui,2020-04-22,991,6,984
92,Anhui,2020-04-23,991,6,984
93,Anhui,2020-04-24,991,6,985
94,Anhui,2020-04-25,991,6,985
95,Anhui,2020-04-26,991,6,985
96,Anhui,2020-04-27,991,6,985
97,Anhui,2020-04-28,991,6,985
98,Anhui,2020-04-29,991,6,985
99,Anhui,2020-04-30,991,6,985
100,Anhui,2020-05-01,991,6,985
101,Anhui,2020-05-02,991,6,985
102,Anhui,2020-05-03,991,6,985
103,Anhui,2020-05-04,991,6,985
104,Anhui,2020-05-05,991,6,985
105,Anhui,2020-05-06,991,6,985
106,Anhui,2020-05-07,991,6,985
107,Anhui,2020-05-08,991,6,985
108,Anhui,2020-05-09,991,6,985
109,Anhui,2020-05-10,991,6,985
110,Anhui,2020-05-11,991,6,985
111,Anhui,2020-05-12,991,6,985
112,Anhui,2020-05-13,991,6,985
113,Anhui,2020-05-14,991,6,985
114,Anhui,2020-05-15,991,6,985
115,Anhui,2020-05-16,991,6,985
116,Anhui,2020-05-17,991,6,985
117,Anhui,2020-05-18,991,6,985
118,Anhui,2020-05-19,991,6,985
119,Anhui,2020-05-20,991,6,985
120,Anhui,2020-05-21,991,6,985
121,Anhui,2020-05-22,991,6,985
122,Anhui,2020-05-23,991,6,985
123,Anhui,2020-05-24,991,6,985
124,Anhui,2020-05-25,991,6,985
125,Anhui,2020-05-26,991,6,985
126,Anhui,2020-05-27,991,6,985
127,Anhui,2020-05-28,991,6,985
128,Anhui,2020-05-29,991,6,985
129,Anhui,2020-05-30,991,6,985
130,Anhui,2020-05-31,991,6,985
131,Anhui,2020-06-01,991,6,985
132,Anhui,2020-06-02,991,6,985
133,Anhui,2020-06-03,991,6,985
134,Anhui,2020-06-04,991,6,985
135,Anhui,2020-06-05,991,6,985
136,Anhui,2020-06-06,991,6,985
137,Beijing,2020-01-22,14,0,0
138,Beijing,2020-01-23,22,0,0
139,Beijing,2020-01-24,36,0,1
140,Beijing,2020-01-25,41,0,2
141,Beijing,2020-01-26,68,0,2
142,Beijing,2020-01-27,80,1,2
143,Beijing,2020-01-28,91,1,4
144,Beijing,2020-01-29,111,1,4
